train_number,train_name,from_station,to_station,current_delay,delay_trend,accumulated_delay,segment_distance_km,current_speed_kmh,hist_avg_travel_time_min,hist_median_travel_time_min,scheduled_dwell_min,num_intermediate_stations,track_congestion_index,weather_impact_factor,hour_of_day,day_of_week,is_weekend,is_peak_hour,scheduled_segment_time_min,actual_dwell_min,actual_segment_travel_time_min,delay_increment_min
12701,Rajdhani Express,NDLS,AGC,4,5.0,2,195,64.9,156,155,3,7,0.46,0.02,23,4,0,0,151,6.5,175.5,28.0
12626,Kerala Express,NDLS,AGC,0,-0.5,3,195,70.2,166,166,10,5,0.74,0.13,8,6,1,1,158,14.6,184.1,30.7
12702,Telangana Express,BPL,VGLJ,0,5.0,2,290,62.8,260,258,2,11,0.49,0.1,8,6,1,1,252,4.0,280.1,30.1
12626,Kerala Express,NGP,BZA,0,-0.5,7,260,95.4,173,171,5,9,0.35,0.06,1,5,1,0,168,5.0,175.7,7.7
12951,Mumbai Rajdhani,BRC,RTM,6,-0.5,4,260,87.5,179,178,5,7,0.68,0.06,21,2,0,0,167,6.7,178.6,13.3
12626,Kerala Express,BPL,NGP,2,0.0,17,390,86.8,278,276,5,10,0.82,0.62,17,1,0,1,273,9.4,304.1,35.5
12951,Mumbai Rajdhani,BRC,RTM,0,0.0,13,260,67.4,215,214,10,8,0.88,0.37,20,3,0,1,209,13.5,237.3,31.8
12626,Kerala Express,NGP,BZA,13,-0.5,16,291,81.8,195,198,10,8,0.74,0.69,4,4,0,0,191,12.7,216.3,28.0
12951,Mumbai Rajdhani,KTA,AGC,17,0.0,32,468,80.5,351,351,10,11,0.68,0.09,17,6,1,1,341,10.0,366.1,25.1
12759,Charminar Express,HYB,SC,0,2.5,0,10,87.6,10,13,8,1,0.75,0.41,23,2,0,0,7,10.2,28.2,23.4
12626,Kerala Express,BPL,NGP,3,0.0,9,390,86.3,293,293,3,11,0.52,0.09,16,0,0,0,286,4.5,296.9,12.4
12702,Telangana Express,HYB,SC,59,1.0,56,10,101.7,16,15,2,1,0.21,0.53,2,6,1,0,6,3.5,27.7,23.2
12759,Charminar Express,OGL,NLR,0,-0.5,14,115,87.9,89,90,3,3,0.44,0.54,22,1,0,0,82,3.7,95.9,14.6
12626,Kerala Express,SBC,ERS,5,-0.5,7,580,75.9,462,460,2,20,0.16,0.5,7,4,0,1,457,4.8,482.6,28.4
12701,Rajdhani Express,BPQ,KZJ,2,0.0,10,235,78.5,169,170,5,5,0.59,0.38,4,5,1,0,160,5.6,181.3,21.9
12702,Telangana Express,SC,KZJ,0,5.0,3,130,91.3,90,93,5,3,0.94,0.08,23,0,0,0,82,9.4,99.9,22.3
12701,Rajdhani Express,BPL,NGP,0,1.0,0,390,63.1,328,326,8,9,0.16,0.65,14,1,0,0,318,10.6,355.4,40.0
12701,Rajdhani Express,NDLS,AGC,23,-1.5,21,195,103.8,118,118,3,6,0.15,0.3,6,6,1,0,110,3.7,114.4,5.1
12951,Mumbai Rajdhani,BRC,RTM,32,0.0,40,260,93.5,164,167,10,9,0.15,0.59,6,2,0,0,162,10.9,176.3,15.2
12759,Charminar Express,HYB,SC,3,0.0,16,10,89.6,19,18,10,1,0.26,0.48,1,4,0,0,7,13.2,20.1,16.3
12951,Mumbai Rajdhani,MMCT,ST,35,0.0,31,263,63.1,219,222,10,7,0.37,0.21,21,4,0,0,207,10.2,236.9,30.1
12759,Charminar Express,SC,KZJ,22,0.0,26,130,91.0,97,99,5,4,0.95,0.8,2,0,0,0,94,10.5,122.3,33.8
12759,Charminar Express,SC,KZJ,9,0.0,11,130,93.6,85,83,3,4,0.94,0.65,17,5,1,1,75,7.0,99.4,28.4
12626,Kerala Express,NGP,BZA,3,0.0,3,269,76.9,239,238,3,10,0.34,0.17,23,4,0,0,232,4.7,246.9,16.6
12759,Charminar Express,OGL,NLR,6,1.0,3,115,71.9,96,95,2,5,0.76,0.51,8,0,0,1,90,5.8,110.9,24.7
12626,Kerala Express,MAS,SBC,44,1.0,58,360,67.7,338,337,2,14,0.41,0.44,4,4,0,0,330,3.7,369.2,40.9
12701,Rajdhani Express,NGP,BPQ,25,-0.5,38,210,95.7,127,129,2,8,0.76,0.71,7,5,1,1,119,8.1,143.6,30.7
12702,Telangana Express,KZJ,BPQ,26,2.5,25,235,112.8,139,142,2,6,0.72,0.2,13,6,1,0,135,4.5,149.0,16.5
12701,Rajdhani Express,SC,HYB,1,0.0,3,10,79.5,11,11,8,1,0.26,0.26,7,1,0,1,8,9.6,16.5,10.1
12759,Charminar Express,NLR,MAS,0,0.0,2,175,68.7,138,139,10,5,0.94,0.03,8,1,0,1,127,13.0,144.5,20.5
12759,Charminar Express,BZA,OGL,0,0.0,3,140,108.7,87,90,2,4,0.1,0.74,8,0,0,1,77,3.8,85.7,10.5
12702,Telangana Express,BPL,VGLJ,9,1.0,16,290,69.7,262,263,5,7,0.53,0.53,3,5,1,0,255,6.1,284.9,31.0
12759,Charminar Express,OGL,NLR,55,-0.5,64,115,81.2,100,99,8,4,0.57,0.0,19,4,0,1,94,9.2,106.3,13.5
12951,Mumbai Rajdhani,KTA,AGC,2,-1.5,6,468,96.4,309,307,8,11,0.92,0.59,16,3,0,0,297,15.1,319.0,29.1
12626,Kerala Express,BZA,MAS,0,-0.5,8,430,92.4,256,257,3,17,0.31,0.38,6,1,0,0,253,4.7,264.7,13.4
12951,Mumbai Rajdhani,AGC,NDLS,0,0.0,5,195,64.8,162,163,8,8,0.74,0.62,20,5,1,1,159,12.3,192.1,37.4
12626,Kerala Express,SBC,ERS,1,1.0,5,580,95.1,395,397,2,13,0.61,0.76,21,4,0,0,386,2.0,413.1,27.1
